"","screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type"
"34","Clemente_EPET","4774444284",2018-01-30 18:09:21,"958401763526283266","@beeonaposy Time management, working with data always takes longer than you think it will.",0,1,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"beeonaposy","215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","jfelipe","14821718",2018-01-30 17:36:57,"958393611846025217","@beeonaposy @rctatman @timClicks @joelgrus Besides data obtention an cleaning, data preparation also entails data c… https://t.co/JajNfUv89j",0,0,FALSE,NA,FALSE,NA,"958113101169164289","215035672","beeonaposy","en","Twitter for Android",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/958393611846025217","beeonaposy rctatman timClicks joelgrus","215035672 101609102 15188612 14092380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","daveminchala","73292486",2018-01-30 16:38:45,"958378965273636864","@thatatattat @TimSteeno @beeonaposy :D same",0,0,FALSE,NA,FALSE,NA,"958378461676089345","862767221826871296","thatatattat","en","Twitter Web Client",NA,NA,NA,NA,NA,NA,"thatatattat TimSteeno beeonaposy","862767221826871296 4765157624 215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","thatatattat","862767221826871296",2018-01-30 16:36:45,"958378461676089345","@daveminchala @TimSteeno @beeonaposy I'm going to be laughing about this all day.",0,1,FALSE,NA,FALSE,NA,"958098163100995584","73292486","daveminchala","en","Twitter Web Client",NA,NA,NA,NA,NA,NA,"daveminchala TimSteeno beeonaposy","73292486 4765157624 215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","sbeltrang","92368893",2018-01-30 16:24:41,"958375424744095744","@IyueSung @beeonaposy I agree 💯! Also, humility to accept you might not have deep statistical knowledge, the curios… https://t.co/z804T7ionF",0,2,FALSE,NA,FALSE,NA,"958091624441110528","2279169180","IyueSung","en","Twitter for Android",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/958375424744095744","IyueSung beeonaposy","2279169180 215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","LearningProject","928267774975201281",2018-01-30 16:09:46,"958371670380695553","@beeonaposy @visualisingdata Common sense",0,0,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","fr","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"beeonaposy visualisingdata","215035672 137712607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","gmillikan","28448891",2018-01-30 15:17:29,"958358512463052805","@beeonaposy Don’t laugh, but everyone expects you to be an Excel ninja so might as well learn it and get good at it… https://t.co/vBdMModQsX",0,0,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter for iPhone",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/958358512463052805","beeonaposy","215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","jparchure","3941990179",2018-01-30 14:57:18,"958353434964643840","@beeonaposy Communication. 
All your models, statistical techniques, dashboards are worthless if you can not help t… https://t.co/obwsGkM039",0,1,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/958353434964643840","beeonaposy","215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","kierisi","2440258777",2018-01-30 14:44:43,"958350266771767296","@marinereilly @beeonaposy 🙌🙌🙌",0,0,FALSE,NA,FALSE,NA,"958331845669740546","1519740002","marinereilly","und","Twitter Web Client",NA,NA,NA,NA,NA,NA,"marinereilly beeonaposy","1519740002 215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","bruce_lambert","264925073",2018-01-30 14:27:13,"958345861817225221","@beeonaposy Data cleaning. Descriptive analysis. Formulation of relevant questions. Preparation of simple graphs.",0,1,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter Web Client",NA,NA,NA,NA,NA,NA,"beeonaposy","215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","powerbiartist","3171679118",2018-01-30 14:11:50,"958341990873055233","@beeonaposy @visualisingdata Storytelling with data",0,0,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"beeonaposy visualisingdata","215035672 137712607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
